vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
1,603,302,174.21538393609217,302,302,223.87259999999998,1,603,602,0,-1.2059717775219538,7.094598884597588
2,603,292.3665008291874,168.706147265329,292,292.38923395445136,216.4596,1,584,583,8.084940197129796e-4,-1.2034119618145815,6.870245423632749
3,603,90.2089552238806,53.64630802630758,88,89.70186335403727,72.64739999999999,1,184,183,0.03318010547492605,-1.2748093317733897,2.1846465477803982
4,603,26.742951907131012,11.00461678602748,26,26.320910973084885,0,1,50,49,0.4459336932946898,0.29590239541980834,0.4481426393676822
5,603,2014.592039800995,2.607057184107005,2015,2014.656314699793,2.9652,2010,2019,9,-0.18506336764986667,-0.9759275655644264,0.10616757586248884
6,603,118.54560530679933,24.795358311133825,120,116.86335403726709,22.238999999999997,0,206,206,0.5343735107639086,1.6696044269823505,1.009745049162238
7,603,70.50414593698176,16.3106644095306,74,72.1304347826087,14.825999999999999,0,98,98,-0.9802978228139339,1.0160436576658851,0.6642216026648389
8,603,64.37976782752902,13.378717738187746,66,65.21532091097309,11.8608,0,97,97,-0.6762179365972021,1.032030874097777,0.5448235040914138
9,603,-5.5787728026534,2.7980202694694807,-5,-5.370600414078675,1.4826,-60,-2,58,-12.387828899303672,235.03641666295212,0.11394419387292196
10,603,17.77446102819237,13.10254259390038,12,15.662525879917185,5.9304,0,74,74,1.7075115776822318,3.0555505185350986,0.5335767827838772
11,603,52.22553897180763,22.513020474017072,52,52.457556935817806,25.2042,0,98,98,-0.0735404006262272,-0.8323504463711981,0.916801067364263
12,603,224.67495854063017,34.13005933128084,221,221.69151138716356,28.1694,134,424,290,1.3328888937355003,4.110980247842183,1.3898834614501034
13,603,14.32669983416252,20.766165305198754,6,9.459627329192546,7.412999999999999,0,99,99,2.1916827186372463,4.403954514359839,0.8456636255824385
14,603,8.35820895522388,7.483162369344005,5,6.6687370600414075,2.9652,0,48,48,2.5280396987195646,6.99450569001112,0.30473792956358986
15,603,66.52072968490879,14.51774552108034,69,68.0952380952381,11.8608,0,99,99,-1.4205837009934217,3.537245836073578,0.5912083012055414
