artist,max_pop,min_pop,sum_pop,mean_pop,year,n,eval_pop_of_yr
Train,83,83,83,83,2010,1,0.34117647058823536
Eminem,82,82,82,82,2010,1,0.3372549019607844
Lady Gaga,79,69,221,73.66666666666667,2010,3,0.3359477124183006
Kesha,80,62,277,69.25,2010,4,0.3343137254901961
Bruno Mars,78,73,151,75.5,2010,2,0.3274509803921569
Justin Bieber,77,77,77,77,2010,1,0.3176470588235294
The Black Eyed Peas,70,59,259,64.75,2010,4,0.3166666666666667
OneRepublic,77,65,142,71,2010,2,0.30980392156862746
Flo Rida,73,73,73,73,2010,1,0.30196078431372553
Mike Posner,73,73,73,73,2010,1,0.30196078431372553
Bruno Mars,78,73,226,75.33333333333333,2011,3,0.329559748427673
Beyonc<e9>,76,60,285,71.25,2011,4,0.3292452830188679
Adele,80,76,156,78,2011,2,0.3245283018867925
Lady Gaga,73,61,328,65.6,2011,5,0.3230188679245283
Pitbull,79,79,79,79,2011,1,0.31320754716981136
Maroon 5,76,76,76,76,2011,1,0.3018867924528302
Hot Chelle Rae,75,75,75,75,2011,1,0.2981132075471698
Avril Lavigne,74,74,74,74,2011,1,0.2943396226415095
LMFAO,72,67,139,69.5,2011,2,0.29245283018867924
Kanye West,73,73,73,73,2011,1,0.2905660377358491
David Guetta,80,80,80,80,2012,1,0.48000000000000004
Maroon 5,79,73,152,76,2012,2,0.48000000000000004
Taylor Swift,77,75,152,76,2012,2,0.48000000000000004
Coldplay,79,79,79,79,2012,1,0.4742857142857143
One Direction,78,78,78,78,2012,1,0.46857142857142864
Katy Perry,71,67,206,68.66666666666667,2012,3,0.46095238095238095
Adele,76,76,76,76,2012,1,0.45714285714285713
Carly Rae Jepsen,76,76,76,76,2012,1,0.45714285714285713
Selena Gomez & The Scene,76,76,76,76,2012,1,0.45714285714285713
Justin Bieber,72,71,143,71.5,2012,2,0.4542857142857143
Avicii,85,85,85,85,2013,1,0.2507042253521127
One Direction,81,73,227,75.66666666666667,2013,3,0.24694835680751176
Miley Cyrus,78,77,155,77.5,2013,2,0.24084507042253522
P!nk,81,81,81,81,2013,1,0.23943661971830985
The Script,80,80,80,80,2013,1,0.23661971830985917
Daft Punk,77,72,149,74.5,2013,2,0.2323943661971831
Katy Perry,78,78,78,78,2013,1,0.23098591549295777
Swedish House Mafia,78,78,78,78,2013,1,0.23098591549295777
Calvin Harris,74,72,146,73,2013,2,0.22816901408450707
James Arthur,77,77,77,77,2013,1,0.22816901408450704
John Legend,86,86,86,86,2014,1,0.3103448275862069
Sam Smith,85,85,85,85,2014,1,0.30689655172413793
Calvin Harris,80,80,80,80,2014,1,0.2896551724137931
MAGIC!,79,79,79,79,2014,1,0.28620689655172415
Bruno Mars,77,67,212,70.66666666666667,2014,3,0.28505747126436787
Avicii,78,78,78,78,2014,1,0.2827586206896552
Maroon 5,78,78,78,78,2014,1,0.2827586206896552
Taylor Swift,78,78,78,78,2014,1,0.2827586206896552
Katy Perry,78,65,209,69.66666666666667,2014,3,0.2816091954022989
Passenger,77,77,77,77,2014,1,0.2793103448275862
Justin Bieber,83,60,637,70.77777777777777,2015,9,0.22479532163742688
The Weeknd,84,79,163,81.5,2015,2,0.18842105263157896
Sam Smith,84,84,84,84,2015,1,0.18526315789473685
Maroon 5,81,66,223,74.33333333333333,2015,3,0.18175438596491228
Ed Sheeran,84,52,281,70.25,2015,4,0.18157894736842106
