title,artist,year,pop,dnce,nrgy,bpm,val,dB,dur,acous,spch,eval
Giant (with Rag'n'Bone Man),Calvin Harris,2019,84,81,89,122,61,-4,229,2,4,84.60000000000001
One Kiss (with Dua Lipa),Calvin Harris,2018,86,79,86,124,59,-3,215,4,11,83.89999999999999
My Way,Calvin Harris,2017,78,82,91,120,54,-3,219,9,4,83.1
TiK ToK,Kesha,2010,80,76,84,120,71,-3,200,10,14,80
Worth It,Fifth Harmony,2015,75,88,77,100,59,-4,225,6,9,79.5
Telephone,Lady Gaga,2010,73,83,83,122,71,-6,221,1,4,79
Cake By The Ocean,DNCE,2016,81,77,75,119,90,-5,219,15,5,78
Me Too,Meghan Trainor,2016,73,93,69,124,84,-6,181,10,10,77.8
New Rules,Dua Lipa,2018,84,76,70,116,61,-6,209,0,7,77.4
Kill Em With Kindness,Selena Gomez,2016,70,76,88,120,40,-5,218,1,4,77.19999999999999
Uptown Funk,Mark Ronson,2015,82,86,61,115,93,-7,270,1,8,76.9
Cooler Than Me - Single Mix,Mike Posner,2010,73,77,82,130,63,-5,213,18,5,76.89999999999999
The Time (Dirty Bit),The Black Eyed Peas,2010,70,82,81,128,44,-8,308,7,7,76.89999999999999
BO$$,Fifth Harmony,2015,66,81,87,103,74,-5,171,1,11,76.8
All About That Bass,Meghan Trainor,2015,65,81,88,134,96,-4,189,5,5,76.69999999999999
Love You Like A Love Song,Selena Gomez & The Scene,2012,76,86,68,117,92,-4,188,8,5,76.6
Shout Out to My Ex,Little Mix,2016,77,77,75,126,80,-4,246,2,9,76.4
Dance Again,Jennifer Lopez,2012,66,79,86,128,71,-5,237,2,7,75.9
Swish Swish,Katy Perry,2017,73,84,71,120,57,-5,243,2,4,75.7
WTF (Where They From),Missy Elliott,2016,58,93,82,120,56,-3,193,2,20,75.7
Come Get It Bae,Pharrell Williams,2014,59,93,80,120,90,-6,202,27,8,75.5
Lips Are Movin,Meghan Trainor,2015,68,78,83,139,95,-5,183,5,5,75.5
IDGAF,Dua Lipa,2018,84,84,54,97,51,-6,218,4,9,75
Attention,Charlie Puth,2018,83,78,61,100,80,-5,209,11,5,74.9
Bon app<e9>tit,Katy Perry,2017,68,80,79,106,52,-6,228,13,6,74.9
Want to Want Me,Jason Derulo,2015,77,78,68,114,66,-6,208,1,6,74.6
MOVE TO MIAMI,Enrique Iglesias,2018,64,76,87,100,90,-4,169,3,5,74.5
Blurred Lines,Robin Thicke,2013,76,85,60,120,84,-5,264,0,4,73.9
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,2016,79,80,59,105,59,-6,214,10,4,73.3
Move,Little Mix,2013,63,85,74,121,77,-5,224,0,9,72.9
Havana (feat. Young Thug),Camila Cabello,2018,85,77,52,105,39,-4,217,18,3,72.69999999999999
Just Give Me a Reason (feat. Nate Ruess),P!nk,2013,81,78,55,95,44,-7,243,35,5,72.3
Ain't Your Mama,Jennifer Lopez,2016,72,76,68,120,82,-6,218,5,23,72
